nome,estado,decada,frequencia,frequencia_total_geral
mozart,Bahia,"[1950,1960[",22,
mozart,Bahia,"[1960,1970[",25,
mozart,Bahia,"[1970,1980[",20,
mozart,Bahia,"[1980,1990[",16,
mozart,Minas Gerais,1930[,31,
mozart,Minas Gerais,"[1930,1940[",102,
mozart,Minas Gerais,"[1940,1950[",139,
mozart,Minas Gerais,"[1950,1960[",174,
mozart,Minas Gerais,"[1960,1970[",194,
mozart,Minas Gerais,"[1970,1980[",85,
mozart,Minas Gerais,"[1980,1990[",74,
mozart,Minas Gerais,"[1990,2000[",46,
mozart,Goiás,"[1930,1940[",17,
mozart,Goiás,"[1940,1950[",29,
mozart,Goiás,"[1950,1960[",33,
mozart,Goiás,"[1960,1970[",30,
mozart,Goiás,"[1970,1980[",19,
mozart,Goiás,"[1980,1990[",16,
mozart,Ceará,"[1960,1970[",20,
mozart,Ceará,"[1980,1990[",16,
mozart,Paraná,"[1930,1940[",15,
mozart,Paraná,"[1940,1950[",24,
mozart,Paraná,"[1950,1960[",28,
mozart,Paraná,"[1960,1970[",38,
mozart,Paraná,"[1970,1980[",24,
mozart,Paraná,"[1980,1990[",31,
mozart,Paraná,"[1990,2000[",29,
mozart,Rio de Janeiro,1930[,22,
mozart,Rio de Janeiro,"[1930,1940[",23,
mozart,Rio de Janeiro,"[1940,1950[",50,
mozart,Rio de Janeiro,"[1950,1960[",80,
mozart,Rio de Janeiro,"[1960,1970[",97,
mozart,Rio de Janeiro,"[1970,1980[",63,
mozart,Rio de Janeiro,"[1980,1990[",53,
mozart,Rio de Janeiro,"[1990,2000[",31,
mozart,Santa Catarina,"[1960,1970[",17,
mozart,Pernambuco,"[1940,1950[",19,
mozart,Pernambuco,"[1950,1960[",32,
mozart,Pernambuco,"[1960,1970[",51,
mozart,Pernambuco,"[1970,1980[",38,
mozart,Pernambuco,"[1980,1990[",28,
mozart,Pernambuco,"[1990,2000[",22,
mozart,Rio Grande do Norte,"[1990,2000[",16,
mozart,Rio Grande do Sul,"[1930,1940[",23,
mozart,Rio Grande do Sul,"[1940,1950[",29,
mozart,Rio Grande do Sul,"[1950,1960[",51,
mozart,Rio Grande do Sul,"[1960,1970[",56,
mozart,Rio Grande do Sul,"[1970,1980[",24,
mozart,Rio Grande do Sul,"[1980,1990[",25,
mozart,Rio Grande do Sul,"[1990,2000[",23,
mozart,São Paulo,"[1930,1940[",52,
mozart,São Paulo,"[1940,1950[",71,
mozart,São Paulo,"[1950,1960[",137,
mozart,São Paulo,"[1960,1970[",145,
mozart,São Paulo,"[1970,1980[",95,
mozart,São Paulo,"[1980,1990[",80,
mozart,São Paulo,"[1990,2000[",57,
mozart,São Paulo,"[2000,2010[",20,
